quarter,down,yardsToGo,absoluteYardlineNumber,possessionTeam,defensiveTeam,offenseFormation,winProbabilityDiff,timeLeftHalf,pointDifferential
4,1,10,69,1,29,4,0.953569342,472,-14
4,1,10,76,26,6,4,-0.6790306340000001,458,6
2,2,5,40,18,17,1,0.5133220620000001,537,-7
3,2,10,47,9,18,5,0.24110388000000005,1692,-3
2,1,10,75,3,30,1,0.672579654,513,0
3,3,17,28,1,4,4,0.19895702599999998,1514,1
4,3,5,85,30,13,0,-0.5382372,811,7
1,1,10,85,28,15,5,0.13744218000000002,1800,0
2,1,10,70,15,28,4,0.35921298799999996,631,-6
3,1,10,85,27,1,4,-0.31132832200000005,935,-4
3,3,1,37,11,20,4,0.832940544,1724,-17
3,3,3,22,24,3,4,-0.46259527,1187,-4
4,3,10,35,28,5,4,0.264840022,715,-3
4,3,16,95,16,28,4,-0.989661736,335,-17
4,4,1,90,14,23,1,0.6240050800000001,690,4
2,3,16,28,9,18,4,0.15159180000000005,530,-3
3,2,9,91,8,10,4,0.263365008,1684,-3
4,2,9,73,10,11,4,0.7478189319999999,302,6
2,3,2,12,4,1,4,0.18461479200000003,296,-4
2,1,10,45,11,21,4,0.23007416000000003,7,-3
3,1,10,60,4,28,5,-0.842583772,1284,-15
3,3,15,77,13,30,4,0.762516178,1655,-13
1,1,10,72,20,10,1,0.5645260139999999,1563,0
1,1,10,85,7,21,4,0.079522498,1347,-3
2,1,10,27,31,11,4,-0.82523816,803,-11
2,1,10,83,31,14,5,0.763866734,170,11
1,1,10,35,6,22,4,0.21470112999999996,1300,-7
1,1,10,25,1,29,3,0.5469698599999999,1192,0
4,1,10,103,2,24,3,-0.997492244,257,21
2,1,10,85,30,31,5,0.06424231800000002,836,-3
2,3,2,23,25,14,3,0.40816927799999997,75,0
1,2,6,78,10,27,1,-0.272661134,1131,-8
1,1,10,82,11,23,5,0.73793475,1468,3
4,1,10,37,29,26,4,0.55477015,588,-8
2,1,10,73,2,6,4,0.35507299800000003,227,3
2,3,2,41,2,3,1,0.7512464780000001,402,14
1,3,17,101,31,10,0,0.19835919200000002,1330,-3
1,2,3,42,11,23,4,0.6939426580000001,1668,0
1,1,10,85,14,13,5,0.09614492199999997,1570,0
1,1,10,104,20,19,1,-0.175227776,1379,0
3,2,5,67,22,6,6,0.483703806,1679,6
2,1,10,71,1,22,4,0.30205828,23,6
4,1,10,17,0,27,4,0.834028422,400,-10
1,3,21,92,18,12,4,0.621474608,1100,3
4,1,5,76,13,9,5,0.26424713400000005,507,-3
4,1,10,89,10,8,0,0.6187284959999999,592,-4
4,1,10,68,21,5,4,-0.992692806,224,-19
2,2,3,68,16,28,1,0.26189908399999995,653,-4
1,1,10,65,25,10,4,-0.0015001820000000166,1033,-7
2,1,2,108,27,0,2,0.05538413600000003,762,-4
1,3,12,99,25,0,4,-0.514154832,999,7
4,4,1,53,0,18,1,0.792335652,148,-8
4,3,5,49,23,30,4,0.6187465780000001,743,-7
2,1,10,68,1,4,3,0.20110789599999995,774,-3
2,3,2,36,25,20,3,0.6370617439999999,129,7
3,1,10,78,27,0,3,0.643684894,1295,6
2,4,1,75,6,26,1,-0.40349901400000004,76,-14
3,2,3,78,13,15,5,-0.5404126279999999,1346,-7
2,1,10,41,10,8,4,0.331798158,604,0
1,1,10,70,6,1,4,0.6647274240000001,1470,7
4,1,10,97,11,5,4,0.9877628599999999,350,14
1,1,10,97,2,24,3,-0.38500160800000005,1196,0
4,1,10,64,22,4,4,0.742705218,845,-13
4,1,10,11,30,31,2,-0.9849180259999999,6,4
3,3,10,51,15,17,4,-0.442646116,1348,-10
2,2,4,83,1,22,3,-0.02725288199999998,572,3
2,2,6,103,30,23,5,0.8037061759999999,470,10
2,3,5,104,31,5,4,-0.012599661999999956,590,0
3,3,2,81,7,2,4,0.612788528,1187,-10
4,1,10,85,28,16,4,-0.5428595919999999,771,3
1,1,10,71,29,2,4,0.09931048799999997,1482,-3
2,2,10,35,14,31,4,0.682517286,701,-11
1,1,10,30,14,13,3,-0.12841533200000005,1258,0
